IdInstitucional;NOMBRE;DOMIC;Tur 4 a 7;TELEF;LOCALIDAD;CP;SECTOR;PROVINCIA;DISTRITO;UBICACION;e-mail EGB;Observaciones
2551;BEATA MARIA ANA DE JESUS;CABILDO 285;T;2085958;PIÑEYRO;1870;PRIVADO;BUENOS AIRES;AVELLANEDA;GBA SUR;;
2552;BENITO GONZALEZ;VIEJO BUENO Y MISIONES;MT;259-2167;BERNAL - OESTE;1876;PRIVADO;BUENOS AIRES;QUILMES;GBA SUR;;
2553;ESC. 26 BERNARDINO RIVADAVIA;O´FARREL Y GUEMES;;;SANTA LUCIA;;OFICIAL;BUENOS AIRES;SAN PEDRO;INTERIOR DE BS AS;;
2554;BERNARDO HOUSSAY;SOMELLERA 890;MT;4442-8142;LA TABLADA;1766;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;sicco@sion.com;
2555;BIENAVENTURADA VIRGEN  MARIA;43 Y 157 N.5548;MT;258-1052;PLATANOS;1885;PRIVADO;BUENOS AIRES;BERAZATEGUI;GBA SUR;;
2556;ESC. 07 GRAL. JOSE DE SAN MARTIN;BARTOLOME MITRE 1845;;03329-426474;SAN PEDRO;2930;OFICIAL;BUENOS AIRES;SAN PEDRO;INTERIOR DE BS AS;;
2557;CAP. PEDRO GIACHINO;JOSE M.MORENO 1318;MT;2406420;LANUS;1824;PRIVADO;BUENOS AIRES;LANUS;GBA SUR;;
2558;CARDENAL STEPINAC;PEDRO DIAZ 2000;MT;665-0087;HURLINGHAM;1686;PRIVADO;BUENOS AIRES;HURLINGHAM;GBA OESTE;;
2559;CARDOZO;WENCESLAO DE TATA 4635;M;4750-0811;CASEROS;1678;PRIVADO;BUENOS AIRES;TRES DE FEBRERO;GBA OESTE;;
2560;CASTRO BARROS - SAN AGUSTIN;MANUEL CASTRO 1061;MT;242-0952;REMEDIOS DE ESCALADA;1826;PRIVADO;BUENOS AIRES;LANUS;GBA SUR;;
2561;CATAMARCA;GRANADA NRO.5925;T;4486-0172;ISIDRO CASANOVA;1765;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;;
2562;CEFERINO NAMUNCURA;OLAVARRIA 3061;T;4750-1602;CASEROS;1678;PRIVADO;BUENOS AIRES;TRES DE FEBRERO;GBA OESTE;icn_educacion@yahoo.com.ar;
2563;CEFERINO NAMUNCURA;BACACAY 651;MT;4763-3575;BOULOGNE;1609;PRIVADO;BUENOS AIRES;SAN ISIDRO;GBA NORTE;;
2564;CENTRO CULTURAL HAEDO;19 DE NOVIEMBRE 150;MT;659-3091;HAEDO;1706;PRIVADO;BUENOS AIRES;MORON;GBA OESTE;cchcentral@infovia.com.ar;
2565;CERVANTES;PICHINCHA 250;MT;4766-4363;BOULOGNE;1609;PRIVADO;BUENOS AIRES;SAN ISIDRO;GBA NORTE;instituto@cervantes.esc.edu.ar;
2566;CHALTEL;LUCIO MELENDEZ 1617;M;7480263;DON TORCUATO;1611;PRIVADO;BUENOS AIRES;TIGRE;GBA NORTE;direcciongeneral@chaltelcollege.com.ar;
2567;SAN ANDRES;SAN JOSE DE FLORES N.6039;MT;720-0637;VILLA BALLESTER;1653;PRIVADO;BUENOS AIRES;GENERAL SAN MARTIN;GBA OESTE;incorporadosanandres@hotmail.com;
2568;CONCORDIA;LIBERTAD 7200 (Calle 49);MT;4766-3190;JOSE LEON SUAREZ;1655;PRIVADO;BUENOS AIRES;GENERAL SAN MARTIN;GBA OESTE;;
2569;COOP. MANUEL BELGRANO;RIVADAVIA 460;M;4253-0123;QUILMES;1878;PRIVADO;BUENOS AIRES;QUILMES;GBA SUR;;
2570;ESC. 04 DOMINGO FRENCH;DEPIETRI 750;MT;03329-423031;SAN PEDRO;2930;OFICIAL;BUENOS AIRES;SAN PEDRO;INTERIOR DE BS AS;;
2571;CRISTIANO EVANGELICO ARGENTINO;4 DE NOVIEMBRE 5020;MT;4759-1850;VILLA BOSCH;1682;PRIVADO;BUENOS AIRES;TRES DE FEBRERO;GBA OESTE;;
2572;CRISTO REY;CALLE PERATTA 1964;MT;250-4802;QUILMES;1879;PRIVADO;BUENOS AIRES;QUILMES;GBA SUR;;
2573;CULTURAL DEL ENCUENTRO;OLAVARRIA 316;M;2549889;QUILMES;1878;PRIVADO;BUENOS AIRES;QUILMES;GBA SUR;;
2574;CULTURAL MANCEDO;MITRE 467/75;M;253-0234/115;QUILMES;1878;PRIVADO;BUENOS AIRES;QUILMES;GBA SUR;;OCT2011: Eligen en Diciembre. Los maestros no cambian: Llevar novedades Buen referente Lorena Rivarola Maestra de 5° Usuarioa Lit Letra Impresa.
2575;CULTURAL ROCA;RICCHIERI 961;M;667-0257;HURLINGHAM;1686;PRIVADO;BUENOS AIRES;HURLINGHAM;GBA OESTE;;
2576;DARDO ROCHA;CATAMARCA 875;M;4798-5814/4798-1607;ACASSUSO;1640;PRIVADO;BUENOS AIRES;SAN ISIDRO;GBA NORTE;colegio@coledardorocha.com.ar;
2577;ANTONIO MACHADO;JUAN CRUZ VARELA NRO.3088;T;;GREGORIO DE LA FERRERE;1757;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;;
2578;ESC. 08 TIERRA DEL FUEGO;PARAJE LA ESTRELLA S/N;T;;SAN PEDRO;2930;OFICIAL;BUENOS AIRES;SAN PEDRO;INTERIOR DE BS AS;;
2579;DE ENS. PRIV. RAICES Y ALAS;AVENIDA PATRICIOS N 3831;MT;0220-44016;LIBERTAD;1716;PRIVADO;BUENOS AIRES;MERLO;GBA OESTE;;
2580;SAN ALFONSO DE LOS PADRES REDENTORISTAS;SAN MARTIN N 2248;M;666-7841;BELLA VISTA;1661;PRIVADO;BUENOS AIRES;SAN MIGUEL;GBA OESTE;;
2581;DEL ESPIRITU SANTO;MATANZA 3339;MT;246-8140;LANUS;1824;PRIVADO;BUENOS AIRES;LANUS;GBA SUR;;
2582;DEL NORTE;ITUZAINGO 2159;M;249-9511;LANUS;1824;PRIVADO;BUENOS AIRES;LANUS;GBA SUR;;
2584;DOMINGO FAUSTINO SARMIENTO;YATASTO 1735;MT;03208105;GRAND BOURG;1615;PRIVADO;BUENOS AIRES;MALVINAS ARGENTINAS;GBA OESTE;;
2585;DON BOSCO;SALTA 1515 Y HELGUERA;M;204-1457;SARANDI;1874;PRIVADO;BUENOS AIRES;AVELLANEDA;GBA SUR;;
2586;NACIONES UNIDAS;FLEMING 973;MT;4717-1844;MARTINEZ;1640;PRIVADO;BUENOS AIRES;SAN ISIDRO;GBA NORTE;colegionunidas@arnet.com.ar;
2587;"EDUC.  ""DR. ALEXANDER FLEMING""";ESTANISLAO DEL CAMPO 1825;T;;QUILMES OESTE;1879;PRIVADO;BUENOS AIRES;QUILMES;GBA SUR;;
2588;EDUC. ALTOS DE LAFERRERE;FARDMAN 1951;T;4457-1536;GREGORIO DE LA FERRERE;1757;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;;
2589;LUIS FEDERICO LELOIR;TUPAC AMARU 4664 Y PAULA ALBARRACIN;MT;4455-9203;SAN MIGUEL;1663;PRIVADO;BUENOS AIRES;SAN MIGUEL;GBA OESTE;;
2590;EDUC. JORGE LUIS BORGES;RAMON FREIRE 2070;MT;4457-5310;GREGORIO DE LA FERRERE;1757;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;;
2591;NACIONES UNIDAS DEL MUNDO;AV SARMIENTO 2257;MT;4511849;SAN MIGUEL;1663;PRIVADO;BUENOS AIRES;SAN MIGUEL;GBA OESTE;;
2592;EDUC. SIGLO XXI;VIRGENES 2755;;4457-1813/4626-2300;GREGORIO DE LA FERRERE;1757;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;;
2593;EDUCACIONAL ALMAFUERTE;GENERAL OCAMPO 3052;MT;4651-6278/4441-7420;SAN JUSTO;1754;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;;
2594;EDUCACIONAL ESTRADA;ALMAFUERTE 347;MT;659-5202;VILLA LUZURIAGA;1754;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;;
2595;FATIMA;JUAN JOSE PASO 556;M;4792-5124;MARTINEZ;1640;PRIVADO;BUENOS AIRES;SAN ISIDRO;GBA NORTE;institutofatima@argentina.com;
2596;EL PUENTE AZUL;ESTRADA 863;;0488-20481;BELEN DE ESCOBAR;1625;PRIVADO;BUENOS AIRES;ESCOBAR;GBA NORTE;;
2597;EMAUS;LEONES 967;M;4659-5447/2699;HAEDO;1706;PRIVADO;BUENOS AIRES;MORON;GBA OESTE;emaus@colegioemaus.edu.ar;
2598;DE LAS AMERICAS;LISANDRO DE LA TORRE 2950;M;4727-4493;DON TORCUATO;1611;PRIVADO;BUENOS AIRES;TIGRE;GBA NORTE;colegioamericas@live.com.ar;
2599;ENRICO FERNI;LA RIOJA 397;M;252-8784;QUILMES;1878;PRIVADO;BUENOS AIRES;QUILMES;GBA SUR;;
2600;ENRIQUE RIOPEDRE;BELGRANO 3776;MT;207-5243;AVELLANEDA;1870;PRIVADO;BUENOS AIRES;AVELLANEDA;GBA SUR;;
2601;SANTO TOMAS;ESTRADA 1265;;;BELEN DE ESCOBAR;1625;PRIVADO;BUENOS AIRES;ESCOBAR;GBA NORTE;;
2602;ESTEBAN ECHEVERRIA;BRASIL 1450;MT;2780220;EZPELETA;1882;PRIVADO;BUENOS AIRES;QUILMES;GBA SUR;;
2603;EUGENIO PACELLI;JUAN CRUZ VARELA 271;T;253-7998;QUILMES;1878;PRIVADO;BUENOS AIRES;QUILMES;GBA SUR;;
2604;EV. DE LA ASAMBLEA CRISTIANO;CERRITO 073 Y RUTA 8;MT;02320-439670;LOS POLVORINES;1665;PRIVADO;BUENOS AIRES;MALVINAS ARGENTINAS;GBA OESTE;;
2605;EVANGELICO AMERICANO;BELGRANO 4720;M;750-3082;CASEROS;1678;PRIVADO;BUENOS AIRES;TRES DE FEBRERO;GBA OESTE;icaseros@yahoo.com.ar;
2606;EVANGELICO AMERICANO;JOSE C.PAZ 2051;MT;0320-22564;JOSE C. PAZ;1665;PRIVADO;BUENOS AIRES;JOSE C. PAZ;GBA OESTE;;
2607;EVANGELICO ARGENTINO;EL PLUMERILLO 1492 Y SAN MARTIN;MT;02320-480101;GRAND BOURG;1615;PRIVADO;BUENOS AIRES;MALVINAS ARGENTINAS;GBA OESTE;;
2608;EVANGELICO LUIS SIEGEL;SAN MARTIN 2431;MT;4660-3181;LOS POLVORINES;1613;PRIVADO;BUENOS AIRES;MALVINAS ARGENTINAS;GBA OESTE;;
2609;EZEQUIEL MARTINEZ ESTRADA;AV. BENAVIDEZ E ITUZAINGO 3294;MT;0327-81443;BENAVIDEZ;1621;PRIVADO;BUENOS AIRES;TIGRE;GBA NORTE;ieme@netben.com.ar;
2610;UN NUEVO MUNDO;F. VARELA Y NECOCHEA;M;;AVELLANEDA;1870;PRIVADO;BUENOS AIRES;AVELLANEDA;GBA SUR;;
2611;FAHY HOGAR;RUTA 7 KM 39;M;0237-4620971;MORENO;1744;PRIVADO;BUENOS AIRES;MORENO;GBA OESTE;ina2000@ciudad.com.ar;
2612;FATIMA;LAPRIDA 4075;MT;4709-3647;VILLA MARTELLI;1603;PRIVADO;BUENOS AIRES;VICENTE LOPEZ;GBA NORTE;martinsebastianbermejo@hotmail.com;
2613;EL BUEN AYRE;URUGUAY 2820;M;4723-0088;BECCAR;1643;PRIVADO;BUENOS AIRES;SAN ISIDRO;GBA NORTE;baire@intermedia.com.ar;
2614;FRENCH;FRENCH 157;M;4201-2124;AVELLANEDA;1870;PRIVADO;BUENOS AIRES;AVELLANEDA;GBA SUR;;contacto Bety Cichelli de 10hs a 14hs
2616;GABRIELA MISTRAL;OLAGUER  FELIU 3546;M;4761-0518;FLORIDA;1602;PRIVADO;BUENOS AIRES;VICENTE LOPEZ;GBA NORTE;igmimi@yahoo.com.ar;
2617;GENERAL PACHECO / EL TALAR;PERU 1054;MT;7361884;LOS TRONCOS DEL TALAR;1618;PRIVADO;BUENOS AIRES;TIGRE;GBA NORTE;instalar@arnet.com.ar;
2618;GIOVANNI PASCOLI;AVDA.PTE.PERON 4350;MT;02320-422433;JOSE C. PAZ;1665;PRIVADO;BUENOS AIRES;JOSE C. PAZ;GBA OESTE;;
2619;GIUSEPPE VERDI;CALLE 846 N 2182;MT;2131809;SAN FRANCISCO SOLANO;1881;PRIVADO;BUENOS AIRES;QUILMES;GBA SUR;;
2620;GONZALEZ CATAN;SIMON PEREZ 6067;;02202-422-854;GONZALEZ CATAN;1759;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;;
2621;GRAL DON JOSE DE SAN MARTIN;AVELLANEDA S/N Y RUTA 23;MT;0237-686405;MORENO;1744;PRIVADO;BUENOS AIRES;MORENO;GBA OESTE;;
2622;GRAL SAN MARTIN;AV PTE. PERON N 4960;M;256-6294;BERAZATEGUI;1884;PRIVADO;BUENOS AIRES;BERAZATEGUI;GBA SUR;;
2623;GRAL SAN MARTIN;REPUBLICA DEL SALVADOR 1136;M;458-3398;ITUZAINGO;1714;PRIVADO;BUENOS AIRES;ITUZAINGO;GBA OESTE;gralsanmartin@gralsanmartin.esc.edu.ar;
2624;GRAL.GÜEMES;J. AZURDUY 521;MT;459-1982;V.TESEI;1708;PRIVADO;BUENOS AIRES;HURLINGHAM;GBA OESTE;igguemes@infovia.com.ar;
2625;GRANADA;GRANADA 4545;MT;4699-7243;ISIDRO CASANOVA;1765;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;institutogranada@infovia.com.ar;
2626;GREGORIO LAFERRERE;JUAN MANUEL ROSAS N 11455 (RUTA 3);T;4457-2211;GREGORIO DE LA FERRERE;1757;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;;
2627;GUILLERMO ENRIQUE HUDSON;CALLE 55 N 5342 ESQ.153;M;215-2129;HUDSON;1885;PRIVADO;BUENOS AIRES;BERAZATEGUI;GBA SUR;;
2628;HERMANOS AMEZOLA;OLAVARRIA 611;MT;4652-5775;VILLA MADERO;1768;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;colegioamezola@speedy.com.ar,colegioamezola@argentina.com;
2629;M. MIGUEL DE GUEMES;P. DE LOS PATOS 444;MT;0320-82327;GRAND BOURG;1615;PRIVADO;BUENOS AIRES;MALVINAS ARGENTINAS;GBA OESTE;;
2630;INCORPORADO SAN GABRIEL;CALLE 848 N 640;M;200-6472;VILLA LA FLORIDA;1881;PRIVADO;BUENOS AIRES;QUILMES;GBA SUR;;
2631;INDEPENDENCIA;LIBERTAD 1797;M;;SAN MIGUEL;1663;PRIVADO;BUENOS AIRES;SAN MIGUEL;GBA OESTE;;
2632;INMACULADA;PEDRO GOYENA 1990;MT;4629-0413;CASTELAR;1712;PRIVADO;BUENOS AIRES;MORON;GBA OESTE;;
2633;INMACULADA CONCEPCION;PORTUGAL 3598;MT;03488-468078;MAQUINISTA F. SAVIO;1620;PRIVADO;BUENOS AIRES;PILAR;GBA NORTE;;
2634;INMACULADA CONCEPCION;MITRE 658;T;4253-0228;QUILMES;1878;PRIVADO;BUENOS AIRES;QUILMES;GBA SUR;;
2635;INTEGRAL A. PALACIOS;RIGLOS 4866;T;02202-424368;GONZALEZ CATAN;1759;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;;
2636;INTEGRAL TRUJUI;BELISARIO ROLDAN 10702;MT;037-816000;TRUJUI;1664;PRIVADO;BUENOS AIRES;MORENO;GBA OESTE;;
2637;ISIDRO CASANOVA;ISLAS MALVINAS 3280;T;4625-3250;ISIDRO CASANOVA;1765;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;;
2638;ISLAS MALVINAS;LA HAYA 3257 ISIDRO CASANOVA;M;625-1467;ISIDRO CASANOVA;1765;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;;
2639;J. F. KENNEDY;MARTIN FIERRO  567;M;4207-3401/4206-6300;WILDE;1875;PRIVADO;BUENOS AIRES;AVELLANEDA;GBA SUR;;
2640;GENESIS;SALTA 1845;M;2472539;LANUS;1824;PRIVADO;BUENOS AIRES;LANUS;GBA SUR;;
2641;JEFFERSON;ALEM 559 Y VERA;M;0237-463-3150;MORENO;1744;PRIVADO;BUENOS AIRES;MORENO;GBA OESTE;coljeff@infovia.com.ar;
2642;JESUS MAESTRO;CALLAO 1550;T;697-6255;MORON;1708;PRIVADO;BUENOS AIRES;MORON;GBA OESTE;;
2643;JESUS MARIA PLAZA;MATIENZO 6255 Y RIO DE JANEIRO;T;02202-451141;GONZALEZ CATAN;1759;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;;
2644;JESUS NIÑO DE TRISTAN SUAREZ;PBRO ELISEO NATTA 255 Y CANALE;MT;4234-9710;TRISTAN SUAREZ;1806;PRIVADO;BUENOS AIRES;EZEIZA;GBA SUR;;Recibe siempre la Bibliotecaria Stella. Otra referente es Susana Vieytes Maestra usuaria Lit Letra Impresa
2645;JOSE C PAZ;ALTUBE 1339;MT;0320-22647;JOSE C. PAZ;1665;PRIVADO;BUENOS AIRES;JOSE C. PAZ;GBA OESTE;;
2646;JOSE HERNANDEZ;BRASIL 1610;MT;748-1730;DON TORCUATO;1611;PRIVADO;BUENOS AIRES;TIGRE;GBA NORTE;jhernan@ciudad.com.ar;
2647;JOSE HERNANDEZ;DONATO ALVAREZ Y 823;MT;212-1683;SAN FRANCISCO SOLANO;1881;PRIVADO;BUENOS AIRES;QUILMES;GBA SUR;;
2648;JOSE HERNANDEZ;MALDONADO 3075;M;;PONTEVEDRA;1761;PRIVADO;BUENOS AIRES;MERLO;GBA OESTE;;
2649;JOSE HERNANDEZ;CHASSAING 6494;MT;02202-453235;GONZALEZ CATAN;1759;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;;
2650;JOSE INGENIEROS;FRAY M.ESQUIU 5230;MT;4750-3412/691;CASEROS;1678;PRIVADO;BUENOS AIRES;TRES DE FEBRERO;GBA OESTE;info@jingenieros.esc.edu.ar;
2651;JOSE MANUEL ESTRADA;C 892 Y 840;MT;250-0757;SAN FRANCISCO SOLANO;1881;PRIVADO;BUENOS AIRES;QUILMES;GBA SUR;;
2652;JOSE MANUEL ESTRADA;GRIERSON 3948;JC;4765-5491;VILLA ADELINA;1605;PRIVADO;BUENOS AIRES;VICENTE LOPEZ;GBA NORTE;adelinaprogramme@yahoo.com.ar;
2653;JOSE MANUEL ESTRADA;PRESIDENTE PERON 471;MT;03488-472208;GARIN;1619;PRIVADO;BUENOS AIRES;ESCOBAR;GBA NORTE;;
2654;JUAN BAUTISTA ALBERDI;LAVALLE 5058;T;216-0238;EZPELETA;1882;PRIVADO;BUENOS AIRES;QUILMES;GBA SUR;;
2655;JUAN PABLO II;MONTEVIDEO 1531;MT;4655-1800;VILLA MADERO;1768;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;ritarina47@hotmail.com;
2656;JUAN RAMON JIMENEZ;AV.FRUCTUOSO DIAZ  225;MT;03488-470710/03488-475696;GARIN;1619;PRIVADO;BUENOS AIRES;ESCOBAR;GBA NORTE;;
2657;JUAN RAMON JIMENEZ;QUINTANA 328;M;241-2041;LANUS OESTE;1824;PRIVADO;BUENOS AIRES;LANUS;GBA SUR;;
2658;JUAN VUCETICH;SANTA MARTA 4281;MT;0320 38670;JOSE C. PAZ;1665;PRIVADO;BUENOS AIRES;JOSE C. PAZ;GBA OESTE;;
2659;LA ASUNCION DE LA VIRGEN;ENTRE RIOS 2370;M;4513-6740;OLIVOS;1636;PRIVADO;BUENOS AIRES;VICENTE LOPEZ;GBA NORTE;la_asuncion@arnet.com.ar;
2660;LA PAZ;LEZICA 3384;MT;4651-5947;SAN JUSTO;1754;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;;
2661;LA SALLE;HIPOLITO YRIGOYEN 2599;MT;4791-4333;FLORIDA;1602;PRIVADO;BUENOS AIRES;VICENTE LOPEZ;GBA NORTE;florida@ilasalle.com.ar;
2662;LA TRINIDAD;RUTA 3 KM 34,300;MT;02202-435097;GONZALEZ CATAN;1759;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;;
2664;LAUSANNE;AV.9 DE JULIO 1760;M;4249-3069;LANUS ESTE;1824;PRIVADO;BUENOS AIRES;LANUS;GBA SUR;;
2665;INSITUTO LIBERTAD;CALLE 137 NRO.2444;MT;4734-4890;VILLA LIBERTAD;1650;PRIVADO;BUENOS AIRES;GENERAL SAN MARTIN;GBA OESTE;institutolibertad@ciudad.com.ar;
2666;LIBERTADOR JOSE DE SAN MARTIN;PIROVANO 122;MT;0320-27125;JOSE C. PAZ;1665;PRIVADO;BUENOS AIRES;JOSE C. PAZ;GBA OESTE;;
2667;LINCOLN;GÜEMES 2147 Y AVILES;MT;665-6736;HURLINGHAM;1686;PRIVADO;BUENOS AIRES;HURLINGHAM;GBA OESTE;;
2668;M. T. DE ALVEAR;SUSSINI 1777;MT;748-4735;DON TORCUATO;1611;PRIVADO;BUENOS AIRES;TIGRE;GBA NORTE;instmtdealvear@aol.com;
2669;MADRE SOFIA BUNGE;SANTA ROSA 220;T;624-0064;ITUZAINGO;1714;PRIVADO;BUENOS AIRES;ITUZAINGO;GBA OESTE;sofiabunge@fullzero.com.ar;
2670;MAGDALENA ABRAIN;MANUEL CASTRO 3327;MT;2479901;REMEDIOS DE ESCALADA;1826;PRIVADO;BUENOS AIRES;LANUS;GBA SUR;;
2671;MAIPU;PUEYRREDON 160;M;4753-1989;VILLA MAIPU;1650;PRIVADO;BUENOS AIRES;GENERAL SAN MARTIN;GBA OESTE;;
2672;MANUEL BELGRANO;EL CALLAO 133;M;237-0081;FLORENCIO VARELA;1888;PRIVADO;BUENOS AIRES;FLORENCIO VARELA;GBA SUR;;
2673;MANUEL BELGRANO;CONSTITUCION 3848;MT;0320-37091;JOSE C. PAZ;1665;PRIVADO;BUENOS AIRES;JOSE C. PAZ;GBA OESTE;;
2675;MANUEL DORREGO;RIO CUARTO 2473 (BARRIO OBLIGADO);MT;666 2854;BELLA VISTA;1661;PRIVADO;BUENOS AIRES;SAN MIGUEL;GBA OESTE;;
2676;MANUEL DORREGO;GERVASIO POSADAS 1115;MT;4709-2876;FLORIDA;1602;PRIVADO;BUENOS AIRES;VICENTE LOPEZ;GBA NORTE;;
2677;MARCELO T DE ALVEAR;CAAGUAZU 2473;MT;4629-2106;ITUZAINGO;1714;PRIVADO;BUENOS AIRES;ITUZAINGO;GBA OESTE;imta@sinectis.com.ar;
2678;MARIA AUXILIADORA;MARTIN Y OMAR 287;M;4743-0129;SAN ISIDRO;1642;PRIVADO;BUENOS AIRES;SAN ISIDRO;GBA NORTE;secretariaegb@hotmail.com;
2679;MARIA AUXILIADORA;BELGRANO 667;MT;4201-7332;AVELLANEDA;1870;PRIVADO;BUENOS AIRES;AVELLANEDA;GBA SUR;;
2680;MARIA DE LUJAN SIERRA;A.DEL VALLE 589;M;022-820914;MORENO;1744;PRIVADO;BUENOS AIRES;MORENO;GBA OESTE;mlsierra@destel.com.ar;
2681;MARIA DEL ROSARIO;BOLIVIA 6071;MT;0237-685865;MORENO;1744;PRIVADO;BUENOS AIRES;MORENO;GBA OESTE;;
2682;MARIA MADRE NUESTRA;TUCUMAN S/N Y CATTANEO;JC;02320-470786;MANUEL ALBERTI;1667;PRIVADO;BUENOS AIRES;PILAR;GBA NORTE;;Ya decidieron . Solo literatura.
2683;MARIA MAZZARELLO;AVDA. DON BOSCO 4654;M;4669-5289;SAN JUSTO;1754;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;colmariamazzarello@speedy.com.ar;
2684;SAN MIGUEL ARCANGEL;LAS FLORES 964;T;4353 2003;WILDE;1875;PRIVADO;BUENOS AIRES;AVELLANEDA;GBA SUR;;
2685;MARIA SANTISIMA DE LA LUZ;AZCUENAGA 1870;M;4791-3784;OLIVOS;1636;PRIVADO;BUENOS AIRES;VICENTE LOPEZ;GBA NORTE;mariasmadelaluz@interar.com.ar;
2686;MARIANO ACOSTA;BEETHOVEN 6351;MT;4626-8006;GREGORIO DE LA FERRERE;1757;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;;
2687;MARIANO MORENO;PEDRO DE MENDOZA 662;MT;4665-2631;HURLINGHAM;1686;PRIVADO;BUENOS AIRES;HURLINGHAM;GBA OESTE;;
2688;ESC. 16 MARTIN MIGUEL GUEMES;PARAJE DEL PARDO S/N;T;;SAN PEDRO;2930;OFICIAL;BUENOS AIRES;SAN PEDRO;INTERIOR DE BS AS;;
2689;MARIANO MORENO;MURGIONDO 3237 Y SAN VLADIMIRO;T;2098632;VILLA DIAMANTE;1824;PRIVADO;BUENOS AIRES;LANUS;GBA SUR;;
2690;MARIANO MORENO;FABIAN ONZARI 1323;M;2064365;WILDE;1875;PRIVADO;BUENOS AIRES;AVELLANEDA;GBA SUR;;
2691;MARIANO MORENO D. E. NRO. 3223;CALLE 56 E/148 Y 149 NRO.1171;MT;;HUDSON;1885;PRIVADO;BUENOS AIRES;BERAZATEGUI;GBA SUR;;
2692;MARIANO MORENO;JUNIN 47;MT;4454-7991;VILLA MADERO;1768;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;;
2693;MARTIN GUEMES;CASTELLI 5630;M;4762-3452;CARAPACHAY;1605;PRIVADO;BUENOS AIRES;VICENTE LOPEZ;GBA NORTE;;
2694;MARTIN MIGUEL DE GUEMES;POLLEDO NRO.410-412;MT;4486-0963;ISIDRO CASANOVA;1765;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;;
2695;MARTIN MIGUEL DE GUEMES;ECHEVERRIA 10605;MT;0237-810757;TRUJUY;1664;PRIVADO;BUENOS AIRES;MORENO;GBA OESTE;;
2696;MODELO;CHACABUCO NRO.1550;M;7976142;FLORIDA;1602;PRIVADO;BUENOS AIRES;VICENTE LOPEZ;GBA NORTE;;
2697;MODELO ALMAFUERTE;RIOBAMBA 1351/65;MT;0220-30023;MERLO;1722;PRIVADO;BUENOS AIRES;MERLO;GBA OESTE;almafuerte@advancedsl.com.ar;
2698;MOD. A. DE SAINT EXUPERY;CATULO CASTILLO 1282;MT;4620-5241;CIUDAD EVITA;1778;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;sexupery@fullzero.com.ar;
2699;MODELO AUXILIO DE MARIA;INDEPENDENCIA 2096;M;;MERLO;1722;PRIVADO;BUENOS AIRES;MERLO;GBA OESTE;;
2700;MODELO DE EDUCACION INTEGRAL;HIPOLITO YRIGOYEN Y BRANDSEN 418;M;;CAÑUELAS;1814;PRIVADO;BUENOS AIRES;CAÑUELAS;GBA SUR;;
2701;MODELO DEL PILAR;H. YRIGOYEN 757;MT;02322-427468;PILAR;1629;PRIVADO;BUENOS AIRES;PILAR;GBA NORTE;instmdp@speedy.com.ar;
2702;MODELO EDUC. SAN LUIS;DE LOS FRANCESES 3856;MT;0220-91298;PONTEVEDRA;1761;PRIVADO;BUENOS AIRES;MERLO;GBA OESTE;;
2703;MODELO EMMANUEL;ESPOSOS CURIE 635;M;2372734;FLORENCIO VARELA;1888;PRIVADO;BUENOS AIRES;FLORENCIO VARELA;GBA SUR;;
2704;MODELO GABRIELA MISTRAL;CHASSAING 7040;M;02202-453235;GONZALEZ CATAN;1759;PRIVADO;BUENOS AIRES;LA MATANZA;GBA OESTE;;
2705;MODELO MANUEL BELGRANO;SANTIAGO DEL ESTERO 1239;MT;020-836959;SAN ANTONIO DE PADUA;1718;PRIVADO;BUENOS AIRES;MERLO;GBA OESTE;institutomanuelbelgrano@infovia.com.ar;
2706;MODELO MANUEL DORREGO;MIGUEL MURRAY 1177;M;802194;Bº PARQUE SAN MARTIN;1722;PRIVADO;BUENOS AIRES;MERLO;GBA OESTE;;
